"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2017年7月24日","477.80","474.88","485.35","474.88","4.27M","0.97%"
"2017年7月21日","473.20","466.96","475.01","463.66","4.68M","1.44%"
"2017年7月20日","466.47","455.86","466.89","455.86","4.66M","2.10%"
"2017年7月19日","456.86","454.00","463.62","452.80","5.63M","0.95%"
"2017年7月18日","452.55","451.99","453.99","448.00","3.07M","0.55%"
"2017年7月17日","450.07","457.04","458.04","446.28","3.53M","-1.39%"
"2017年7月14日","456.41","456.25","458.76","453.05","1.77M","0.05%"
"2017年7月13日","456.16","455.35","461.91","453.68","2.60M","-0.29%"
"2017年7月12日","457.47","465.80","465.99","455.00","2.90M","-1.22%"
"2017年7月11日","463.13","454.50","464.58","454.00","4.46M","1.91%"
"2017年7月10日","454.47","446.88","454.90","442.97","3.66M","1.91%"
"2017年7月7日","445.97","451.05","451.10","441.20","3.78M","-2.20%"
"2017年7月6日","455.98","458.11","460.20","450.60","4.20M","-0.90%"
"2017年7月5日","460.13","453.01","460.33","453.01","3.75M","1.82%"
"2017年7月4日","451.92","458.96","460.00","449.00","5.65M","-1.84%"
"2017年7月3日","460.37","474.20","474.20","457.90","4.96M","-2.43%"
"2017年6月30日","471.85","471.51","474.16","467.80","2.24M","-0.25%"
"2017年6月29日","473.01","476.30","477.35","470.00","3.51M","-0.48%"
"2017年6月28日","475.30","484.09","484.09","473.00","3.77M","-1.82%"
"2017年6月27日","484.10","482.82","485.00","480.85","2.80M","-0.12%"
"2017年6月26日","484.68","473.01","485.00","472.00","5.29M","2.53%"
"2017年6月23日","472.73","472.86","474.88","468.33","3.13M","-0.00%"
"2017年6月22日","472.75","473.02","477.93","471.20","3.82M","0.01%"
"2017年6月21日","472.71","469.55","473.00","466.03","4.20M","1.37%"
"2017年6月20日","466.30","473.00","474.88","465.66","3.45M","-0.82%"
"2017年6月19日","470.17","461.96","470.39","461.96","3.85M","1.63%"
"2017年6月16日","462.63","461.50","467.49","461.26","3.33M","-0.36%"
"2017年6月15日","464.30","475.00","475.48","464.00","5.02M","-2.13%"
"2017年6月14日","474.39","472.79","477.50","470.48","3.38M","0.29%"
"2017年6月13日","473.04","473.05","474.50","467.00","2.42M","0.03%"
"2017年6月12日","472.88","467.00","475.44","465.00","3.51M","1.53%"
"2017年6月9日","465.74","464.24","470.80","463.00","3.14M","0.31%"
"2017年6月8日","464.31","461.32","464.40","458.50","2.90M","1.08%"
"2017年6月7日","459.37","449.12","460.00","449.12","3.88M","2.35%"
"2017年6月6日","448.82","444.97","449.00","444.20","2.04M","0.99%"
"2017年6月5日","444.41","448.04","449.00","442.35","1.92M","-0.65%"
"2017年6月2日","447.31","450.00","450.95","445.60","2.18M","-0.44%"
"2017年6月1日","449.28","442.50","449.95","441.01","4.06M","1.43%"
"2017年5月31日","442.94","450.00","450.50","440.11","4.43M","-1.99%"
"2017年5月26日","451.92","450.82","455.60","448.00","2.74M","0.29%"
"2017年5月25日","450.60","448.71","452.96","447.50","2.89M","0.06%"
"2017年5月24日","450.32","452.90","456.48","446.00","4.02M","-0.85%"
"2017年5月23日","454.20","442.25","454.47","442.25","4.85M","2.81%"
"2017年5月22日","441.78","439.04","446.01","436.20","3.53M","0.22%"
"2017年5月19日","440.82","429.57","441.80","429.57","3.83M","2.63%"
"2017年5月18日","429.54","425.05","430.70","425.01","2.43M","0.69%"
"2017年5月17日","426.60","429.00","430.19","424.88","2.75M","-0.82%"
